# ============================================================
# station-stats.csv  駅別統計データ（正規データソース）
#
# ■ 運用ルール
#   - このファイルが唯一の正規データ。stationStats.ts は自動生成物。
#   - 空欄 = 未入力。null や 0 を入れない。
#   - データを追加したら git commit してバックアップ。
#   - 収集日は stationStats.ts 側の PARAM_DATA_SOURCES に記録する。
#
# ■ 優先度の目安（上から埋めると効果が高い）
#   高: daily_passengers, avg_rent_1k, avg_rent_1ldk, crime_index, safety_score
#   中: population_density, restaurant_count, supermarket_count, park_area_m2
#   低: morning_congestion, noise_score, green_ratio_pct, coworking_count
#
# ============================================================
# 列定義・収集方法
# ------------------------------------------------------------
#
# [自動生成列 ─ 手動編集不要]
# station_name       : 駅名（routes.ts と一致させること）
# lat / lng          : 緯度・経度（routes.ts から generate-station-stats.ts で生成）
# line_count         : 乗り入れ路線数（同上）
#
# [住居・生活コスト]
# avg_rent_1k        : 1K 平均家賃（万円/月）
#   収集方法          : SUUMO https://suumo.jp/chintai/tokyo/ek_[駅名]/ で「1K」絞り込み
#                       → 掲載物件の賃料一覧から中央値（上下10%除外して目算）
#   精度              : ±1万円程度の概算
#
# avg_rent_1ldk      : 1LDK 平均家賃（万円/月）
#   収集方法          : 同上、「1LDK」絞り込み
#
# population_density : 人口密度（人/km²）
#   収集方法          : 政府統計 e-Stat 国勢調査（令和2年）→ 町丁別人口 / 面積
#                       https://www.e-stat.go.jp/
#   備考              : 駅の行政区画の町丁を合算して駅圏（概ね半径1km）を推計
#
# [交通]
# daily_passengers   : 一日乗降客数（人/日）
#   収集方法          : 各社公表の「駅別乗降人員」を合算
#                       JR東日本  https://www.jreast.co.jp/passenger/
#                       東京メトロ https://www.tokyometro.jp/corporate/enterprise/passenger_rail/transport/
#                       各私鉄    各社 IR・統計ページ
#   備考              : 複数社乗り入れ駅は合算、単位は人/日（千人単位で概算可）
#
# morning_congestion : 朝ラッシュ混雑度（0〜100、高いほど混む）
#   収集方法          : 国土交通省「都市鉄道の混雑率」報告書の混雑率（%）を
#                       100超えの場合は100にクリップ、100未満はそのまま整数値で記録
#                       https://www.mlit.go.jp/toshi/city_transport/toshi_city_transport_tk_000007.html
#
# [飲食・娯楽 ─ 駅出口から半径500m以内の店舗数]
# izakaya_count      : 居酒屋数
# restaurant_count   : 飲食店数（全ジャンル合計）
# cafe_count         : カフェ・喫茶店数
# convenience_store_count : コンビニ数
# ramen_count        : ラーメン専門店数
#   収集方法（上記5列共通）:
#                       Google マップで「駅名 居酒屋（or 飲食店 etc.）」検索
#                       → 地図上の件数を目視でカウント（概数で可）
#                       または Overpass API で OSM データから集計
#                       https://overpass-turbo.eu/
#
# [生活利便性 ─ 半径500m以内]
# supermarket_count  : スーパー数
# hospital_count     : 病院・クリニック数
# bookstore_count    : 書店数
#   収集方法（上記3列共通）: Google マップ or Overpass API（飲食と同様）
#
# [治安]
# crime_index        : 犯罪認知件数（件/年）
#   収集方法          : 警視庁「区市町村の町丁別、罪種別及び手口別認知件数」
#                       https://www.keishicho.metro.tokyo.lg.jp/about_mpd/toukei_sishou/toukei/hanzaitoukei.html
#                       → 駅周辺の町丁を特定して合算
#
# safety_score       : 治安スコア（0〜100、高いほど安全）
#   収集方法          : crime_index を人口で除した犯罪率を 0〜100 に正規化
#                       safety_score = 100 - round((crime_index / population_density) * 正規化係数)
#                       ※ crime_index と population_density が揃ったら算出可能
#
# [環境]
# park_area_m2       : 周辺公園面積合計（m²、半径500m以内）
#   収集方法          : 国土数値情報「都市公園データ」
#                       https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P13.html
#                       → GIS ツール（QGIS 等）で半径500mバッファと重ねて面積合算
#                       または Overpass API: [leisure=park] で検索
#
# noise_score        : 静かさスコア（0〜100、高いほど静か）
#   収集方法          : 推計値。乗降客数・幹線道路密度・飲食店密度から算出
#                       high_noise = (daily_passengers/350000)*40 + (restaurant_count/800)*30 + ...
#                       ※ 直接測定データは環境省の騒音マップ https://www.env.go.jp/air/seikatsu/road_traffic_noise/index.html
#
# green_ratio_pct    : 緑地率（%）
#   収集方法          : 国土数値情報「土地利用細分メッシュ」から農地・森林・公園の割合を算出
#                       または Google Earth Engine で NDVI を用いた植生率推計
#
# [仕事]
# office_count       : オフィスビル棟数（半径500m以内）
# coworking_count    : コワーキングスペース数（半径500m以内）
#   収集方法          : Google マップ or Overpass API（飲食と同様）
#                       コワーキングは「コワーキング 駅名」で検索
#
# ============================================================

station_name,lat,lng,line_count,avg_rent_1k,avg_rent_1ldk,population_density,daily_passengers,morning_congestion,izakaya_count,restaurant_count,cafe_count,convenience_store_count,ramen_count,supermarket_count,hospital_count,bookstore_count,crime_index,safety_score,park_area_m2,noise_score,green_ratio_pct,office_count,coworking_count
東京,35.680965,139.766685,13,13,22,8000,450000,95,100,400,60,25,20,2,15,8,500,62,50000,35,12,500,25
神田,35.691700,139.770900,4,11,18,5000,40000,70,80,250,30,10,15,2,12,5,400,60,3000,40,5,200,12
秋葉原,35.698970,139.774283,4,9,15,10000,130000,72,50,200,40,12,15,2,10,8,600,52,2000,35,3,120,12
御徒町,35.707195,139.774715,2,7.5,12.5,18000,50000,65,100,350,20,10,15,4,15,2,700,48,3000,35,5,30,2
上野,35.713865,139.777510,10,7.8,13.5,15000,180000,75,120,350,30,10,20,6,22,3,900,52,530000,42,18,80,6
鶯谷,35.721455,139.778030,2,6.5,10.5,15000,10000,35,25,70,5,4,6,2,8,1,350,50,2000,48,8,5,0
日暮里,35.727987,139.771190,6,6.8,11,15000,40000,60,30,80,8,5,8,3,12,2,250,62,2000,52,6,15,2
西日暮里,35.732175,139.766715,4,6.5,10.5,14000,25000,50,20,60,8,4,6,3,10,1,200,65,3000,58,8,10,1
田端,35.737475,139.761575,2,6.8,11,13000,18000,40,20,60,8,4,6,3,10,1,150,70,4000,62,16,8,1
駒込,35.736010,139.746853,2,7.2,12,14000,20000,45,30,80,10,5,8,4,12,1,180,70,100000,65,22,10,1
巣鴨,35.733720,139.740350,2,7,11.5,16000,35000,55,40,120,10,6,10,5,18,2,200,68,5000,58,10,15,1
大塚,35.731785,139.727940,3,7.8,13.5,18000,35000,60,80,180,20,8,15,5,15,2,500,52,3000,40,5,30,3
池袋,35.729185,139.710885,7,8.2,14.5,22000,270000,88,200,600,70,18,40,10,35,6,1500,40,8000,25,4,180,12
目白,35.720390,139.706280,1,9,15.5,12000,20000,45,20,60,15,4,5,3,12,2,150,75,8000,65,18,15,2
高田馬場,35.712483,139.704000,3,7.5,12.5,20000,60000,70,100,300,40,12,25,6,20,5,600,52,3000,38,5,30,6
新大久保,35.700930,139.700255,1,8.5,14.5,22000,35000,50,30,250,30,8,10,5,15,2,700,50,2000,35,3,20,3
新宿,35.690900,139.700300,10,9.8,17.5,20000,350000,95,300,800,100,20,50,8,30,5,2000,35,5000,20,3,350,20
代々木,35.683795,139.702210,3,9.8,16.5,12000,30000,55,40,100,20,5,8,3,10,2,400,58,540000,55,40,30,4
原宿,35.671320,139.702712,1,12,20,10000,50000,60,30,200,60,6,8,2,12,2,350,65,700000,55,35,40,5
渋谷,35.658082,139.701724,9,10.5,18,18000,220000,90,150,500,80,12,30,5,20,3,1200,45,15000,30,8,200,15
恵比寿,35.646700,139.710100,4,12.5,21,12000,90000,72,60,300,70,8,10,4,18,3,300,72,50000,52,14,100,10
目黒,35.633406,139.715727,4,11,18.5,14000,80000,72,70,250,40,8,12,5,18,3,400,62,10000,50,12,80,7
五反田,35.626060,139.723696,3,9.5,15,15000,50000,70,80,200,25,8,12,4,15,2,500,55,3000,42,6,100,6
大崎,35.619945,139.728245,4,9.5,16,10000,90000,75,40,120,20,8,8,3,12,2,350,62,5000,45,8,150,8
品川,35.629564,139.740069,7,11,19,9000,250000,88,100,300,50,18,15,4,20,5,600,60,20000,35,8,300,18
高輪ゲートウェイ,35.635379,139.740644,2,13,22,,,,,,,,,,,,,,,,,,
田町,35.645700,139.747600,3,11.5,19.5,8000,70000,75,70,200,35,10,10,3,12,3,300,65,5000,45,8,180,12
浜松町,35.655410,139.757125,3,12,20.5,6000,80000,78,60,180,25,10,10,2,10,2,350,62,20000,40,12,200,12
新橋,35.665500,139.759600,8,12,20,7000,90000,80,200,500,50,15,25,3,20,4,800,55,5000,28,4,250,10
有楽町,35.675100,139.763300,3,14,25,6000,40000,70,80,200,30,10,10,2,10,3,400,65,30000,38,10,300,15
御茶ノ水,35.699605,139.765030,2,11,18.5,,,,,,,,,,,,,,,,,,
水道橋,35.702000,139.753745,2,10,17,,,,,,,,,,,,,,,,,,
飯田橋,35.701333,139.746656,5,11.5,19.5,,,,,,,,,,,,,,,,,,
市ケ谷,35.691155,139.735320,4,10.5,17.5,,,,,,,,,,,,,,,,,,
四ツ谷,35.685732,139.730562,3,12,20.5,,,,,,,,,,,,,,,,,,
信濃町,35.679938,139.721293,1,11.0,18.0,,,,,,,,,,,,,,,,,,
千駄ケ谷,35.681207,139.711453,1,10.2,17.0,,,,,,,,,,,,,,,,,,
大久保,35.700635,139.697445,4,8.5,14.5,,,,,,,,,,,,,,,,,,
東中野,35.707370,139.683250,1,8.5,14.5,,,,,,,,,,,,,,,,,,
中野,35.705740,139.665605,4,8.5,14.5,,,,,,,,,,,,,,,,,,
高円寺,35.705300,139.649700,1,7.8,13,,,,,,,,,,,,,,,,,,
阿佐ケ谷,35.704887,139.636257,1,7.5,12.5,,,,,,,,,,,,,,,,,,
