station_name,lat,lng,line_count,avg_rent_1k,avg_rent_1ldk,population_density,daily_passengers,morning_congestion,izakaya_count,restaurant_count,cafe_count,convenience_store_count,ramen_count,supermarket_count,hospital_count,bookstore_count,crime_index,safety_score,park_area_m2,noise_score,green_ratio_pct,office_count,coworking_count
東京,35.680965,139.766685,13,13.0,22.0,8000.0,450000.0,95.0,100.0,400.0,60.0,25.0,20.0,2.0,15.0,8.0,500.0,62.0,50000.0,35.0,12.0,500.0,25.0
神田,35.6917,139.7709,4,11.0,18.0,5000.0,40000.0,70.0,80.0,250.0,30.0,10.0,15.0,2.0,12.0,5.0,400.0,60.0,3000.0,40.0,5.0,200.0,12.0
秋葉原,35.69897,139.774283,4,9.0,15.0,10000.0,130000.0,72.0,50.0,200.0,40.0,12.0,15.0,2.0,10.0,8.0,600.0,52.0,2000.0,35.0,3.0,120.0,12.0
御徒町,35.707195,139.774715,2,7.5,12.5,18000.0,50000.0,65.0,100.0,350.0,20.0,10.0,15.0,4.0,15.0,2.0,700.0,48.0,3000.0,35.0,5.0,30.0,2.0
上野,35.713865,139.77751,10,7.8,13.5,15000.0,180000.0,75.0,120.0,350.0,30.0,10.0,20.0,6.0,22.0,3.0,900.0,52.0,530000.0,42.0,18.0,80.0,6.0
鶯谷,35.721455,139.77803,2,6.5,10.5,15000.0,10000.0,35.0,25.0,70.0,5.0,4.0,6.0,2.0,8.0,1.0,350.0,50.0,2000.0,48.0,8.0,5.0,0.0
日暮里,35.727987,139.77119,6,6.8,11.0,15000.0,40000.0,60.0,30.0,80.0,8.0,5.0,8.0,3.0,12.0,2.0,250.0,62.0,2000.0,52.0,6.0,15.0,2.0
西日暮里,35.732175,139.766715,4,6.5,10.5,14000.0,25000.0,50.0,20.0,60.0,8.0,4.0,6.0,3.0,10.0,1.0,200.0,65.0,3000.0,58.0,8.0,10.0,1.0
田端,35.737475,139.761575,2,6.8,11.0,13000.0,18000.0,40.0,20.0,60.0,8.0,4.0,6.0,3.0,10.0,1.0,150.0,70.0,4000.0,62.0,16.0,8.0,1.0
駒込,35.73601,139.746853,2,7.2,12.0,14000.0,20000.0,45.0,30.0,80.0,10.0,5.0,8.0,4.0,12.0,1.0,180.0,70.0,100000.0,65.0,22.0,10.0,1.0
巣鴨,35.73372,139.74035,2,7.0,11.5,16000.0,35000.0,55.0,40.0,120.0,10.0,6.0,10.0,5.0,18.0,2.0,200.0,68.0,5000.0,58.0,10.0,15.0,1.0
大塚,35.731785,139.72794,3,7.8,13.5,18000.0,35000.0,60.0,80.0,180.0,20.0,8.0,15.0,5.0,15.0,2.0,500.0,52.0,3000.0,40.0,5.0,30.0,3.0
池袋,35.729185,139.710885,7,8.2,14.5,22000.0,270000.0,88.0,200.0,600.0,70.0,18.0,40.0,10.0,35.0,6.0,1500.0,40.0,8000.0,25.0,4.0,180.0,12.0
目白,35.72039,139.70628,1,9.0,15.5,12000.0,20000.0,45.0,20.0,60.0,15.0,4.0,5.0,3.0,12.0,2.0,150.0,75.0,8000.0,65.0,18.0,15.0,2.0
高田馬場,35.712483,139.704,3,7.5,12.5,20000.0,60000.0,70.0,100.0,300.0,40.0,12.0,25.0,6.0,20.0,5.0,600.0,52.0,3000.0,38.0,5.0,30.0,6.0
新大久保,35.70093,139.700255,1,8.5,14.5,22000.0,35000.0,50.0,30.0,250.0,30.0,8.0,10.0,5.0,15.0,2.0,700.0,50.0,2000.0,35.0,3.0,20.0,3.0
新宿,35.6909,139.7003,10,9.8,17.5,20000.0,350000.0,95.0,300.0,800.0,100.0,20.0,50.0,8.0,30.0,5.0,2000.0,35.0,5000.0,20.0,3.0,350.0,20.0
代々木,35.683795,139.70221,3,9.8,16.5,12000.0,30000.0,55.0,40.0,100.0,20.0,5.0,8.0,3.0,10.0,2.0,400.0,58.0,540000.0,55.0,40.0,30.0,4.0
原宿,35.67132,139.702712,1,12.0,20.0,10000.0,50000.0,60.0,30.0,200.0,60.0,6.0,8.0,2.0,12.0,2.0,350.0,65.0,700000.0,55.0,35.0,40.0,5.0
渋谷,35.658082,139.701724,9,10.5,18.0,18000.0,220000.0,90.0,150.0,500.0,80.0,12.0,30.0,5.0,20.0,3.0,1200.0,45.0,15000.0,30.0,8.0,200.0,15.0
恵比寿,35.6467,139.7101,4,12.5,21.0,12000.0,90000.0,72.0,60.0,300.0,70.0,8.0,10.0,4.0,18.0,3.0,300.0,72.0,50000.0,52.0,14.0,100.0,10.0
目黒,35.633406,139.715727,4,11.0,18.5,14000.0,80000.0,72.0,70.0,250.0,40.0,8.0,12.0,5.0,18.0,3.0,400.0,62.0,10000.0,50.0,12.0,80.0,7.0
五反田,35.62606,139.723696,3,9.5,15.0,15000.0,50000.0,70.0,80.0,200.0,25.0,8.0,12.0,4.0,15.0,2.0,500.0,55.0,3000.0,42.0,6.0,100.0,6.0
大崎,35.619945,139.728245,4,9.5,16.0,10000.0,90000.0,75.0,40.0,120.0,20.0,8.0,8.0,3.0,12.0,2.0,350.0,62.0,5000.0,45.0,8.0,150.0,8.0
品川,35.629564,139.740069,7,11.0,19.0,9000.0,250000.0,88.0,100.0,300.0,50.0,18.0,15.0,4.0,20.0,5.0,600.0,60.0,20000.0,35.0,8.0,300.0,18.0
高輪ゲートウェイ,35.635379,139.740644,2,13.0,22.0,20100.0,55000.0,75.0,74.0,228.0,16.0,14.0,17.0,4.0,17.0,3.0,590.0,68.0,52400.0,71.0,5.5,226.0,10.0
田町,35.6457,139.7476,3,11.5,19.5,8000.0,70000.0,75.0,70.0,200.0,35.0,10.0,10.0,3.0,12.0,3.0,300.0,65.0,5000.0,45.0,8.0,180.0,12.0
浜松町,35.65541,139.757125,3,12.0,20.5,6000.0,80000.0,78.0,60.0,180.0,25.0,10.0,10.0,2.0,10.0,2.0,350.0,62.0,20000.0,40.0,12.0,200.0,12.0
新橋,35.6655,139.7596,8,12.0,20.0,7000.0,90000.0,80.0,200.0,500.0,50.0,15.0,25.0,3.0,20.0,4.0,800.0,55.0,5000.0,28.0,4.0,250.0,10.0
有楽町,35.6751,139.7633,3,14.0,25.0,6000.0,40000.0,70.0,80.0,200.0,30.0,10.0,10.0,2.0,10.0,3.0,400.0,65.0,30000.0,38.0,10.0,300.0,15.0
御茶ノ水,35.699605,139.76503,2,11.0,18.5,19000.0,36000.0,79.0,75.0,220.0,9.0,14.0,17.0,2.0,16.0,3.0,600.0,64.0,53700.0,69.0,5.6,237.0,12.0
水道橋,35.702,139.753745,2,10.0,17.0,19600.0,36000.0,82.0,56.0,217.0,10.0,12.0,25.0,2.0,16.0,1.0,600.0,77.0,42400.0,72.0,6.4,220.0,10.0
飯田橋,35.701333,139.746656,5,11.5,19.5,18200.0,120000.0,73.0,95.0,354.0,35.0,17.0,39.0,4.0,15.0,7.0,650.0,74.0,67300.0,57.0,8.7,277.0,13.0
市ケ谷,35.691155,139.73532,4,11.5,20.0,20800.0,111000.0,77.0,75.0,316.0,30.0,18.0,27.0,3.0,18.0,5.0,720.0,76.0,45700.0,64.0,4.6,252.0,12.0
四ツ谷,35.685732,139.730562,3,12.0,20.5,18700.0,79000.0,65.0,58.0,256.0,22.0,16.0,27.0,5.0,16.0,5.0,550.0,73.0,34500.0,69.0,6.3,226.0,12.0
信濃町,35.679938,139.721293,1,10.7,18.0,19400.0,10000.0,88.0,50.0,172.0,7.0,14.0,15.0,4.0,17.0,0.0,550.0,75.0,33300.0,80.0,4.5,210.0,9.0
千駄ケ谷,35.681207,139.711453,1,10.2,17.3,18300.0,14000.0,66.0,33.0,164.0,6.0,10.0,18.0,2.0,14.0,1.0,550.0,70.0,57900.0,82.0,7.8,189.0,9.0
大久保,35.700635,139.697445,4,8.0,14.0,19900.0,104000.0,79.0,85.0,299.0,27.0,17.0,30.0,5.0,14.0,5.0,590.0,78.0,38100.0,64.0,4.9,219.0,9.0
東中野,35.70737,139.68325,1,9.9,16.8,19700.0,12000.0,87.0,55.0,178.0,4.0,12.0,17.0,5.0,16.0,1.0,560.0,79.0,50000.0,77.0,5.7,165.0,8.0
中野,35.70574,139.665605,4,8.5,14.5,17900.0,96000.0,83.0,77.0,260.0,26.0,14.0,28.0,3.0,12.0,5.0,540.0,69.0,64000.0,68.0,10.1,232.0,10.0
高円寺,35.7053,139.6497,1,7.8,13.0,17500.0,12000.0,70.0,34.0,159.0,6.0,13.0,15.0,4.0,15.0,2.0,490.0,71.0,27400.0,80.0,6.8,149.0,7.0
阿佐ケ谷,35.704887,139.636257,1,9.8,16.6,18500.0,16000.0,76.0,44.0,133.0,9.0,13.0,9.0,4.0,16.0,0.0,510.0,68.0,45100.0,76.0,11.7,177.0,9.0
荻窪,35.704175,139.61976,2,7.8,13.0,19200.0,29000.0,70.0,58.0,193.0,9.0,12.0,19.0,5.0,16.0,2.0,490.0,77.0,28000.0,72.0,10.7,187.0,9.0
西荻窪,35.703798,139.599705,1,7.5,12.5,16400.0,5000.0,75.0,24.0,121.0,6.0,10.0,10.0,4.0,12.0,0.0,390.0,68.0,53400.0,84.0,13.9,133.0,5.0
吉祥寺,35.703147,139.57999,2,7.5,13.0,12000.0,60000.0,65.0,80.0,250.0,40.0,8.0,15.0,6.0,18.0,4.0,400.0,68.0,880000.0,55.0,25.0,30.0,5.0
三鷹,35.702694,139.560708,1,7.0,11.5,16800.0,13000.0,69.0,28.0,114.0,3.0,12.0,12.0,2.0,13.0,2.0,440.0,79.0,39600.0,77.0,13.4,127.0,6.0
武蔵境,35.70209,139.543555,2,6.8,11.5,17800.0,56000.0,94.0,46.0,144.0,10.0,12.0,9.0,4.0,16.0,4.0,500.0,66.0,37700.0,76.0,16.6,129.0,5.0
東小金井,35.70156,139.52376,1,7.4,12.8,16800.0,13000.0,82.0,25.0,114.0,7.0,12.0,8.0,5.0,15.0,1.0,460.0,68.0,60500.0,77.0,13.9,136.0,7.0
武蔵小金井,35.701035,139.50593,1,7.4,12.8,17200.0,9000.0,71.0,24.0,96.0,6.0,13.0,8.0,4.0,14.0,1.0,440.0,77.0,35400.0,82.0,12.5,107.0,4.0
国分寺,35.700132,139.480558,2,6.5,11.0,17200.0,44000.0,76.0,26.0,130.0,14.0,12.0,8.0,3.0,16.0,4.0,470.0,74.0,27800.0,74.0,16.3,96.0,3.0
西国分寺,35.699723,139.46577,2,6.6,11.3,16100.0,41000.0,76.0,40.0,149.0,11.0,12.0,9.0,5.0,11.0,3.0,400.0,68.0,60800.0,74.0,16.9,105.0,5.0
国立,35.699195,139.446415,1,6.8,11.5,15900.0,14000.0,83.0,29.0,102.0,4.0,12.0,10.0,4.0,13.0,0.0,430.0,77.0,58100.0,75.0,17.9,104.0,6.0
立川,35.698025,139.413782,3,6.5,11.0,10000.0,90000.0,72.0,80.0,250.0,35.0,12.0,20.0,8.0,20.0,4.0,500.0,55.0,30000.0,45.0,12.0,80.0,6.0
日野,35.678675,139.393498,2,5.6,9.6,15900.0,46000.0,67.0,31.0,116.0,16.0,14.0,12.0,2.0,14.0,2.0,440.0,80.0,56900.0,74.0,19.2,81.0,3.0
豊田,35.659472,139.381487,1,5.7,9.5,13800.0,15000.0,65.0,20.0,93.0,9.0,8.0,9.0,5.0,11.0,0.0,350.0,74.0,59900.0,76.0,18.8,78.0,3.0
八王子,35.655493,139.33888,3,5.5,9.3,12200.0,72000.0,83.0,29.0,142.0,17.0,11.0,10.0,3.0,13.0,4.0,360.0,71.0,28800.0,75.0,21.7,87.0,5.0
西八王子,35.656275,139.312005,1,5.3,9.3,12600.0,11000.0,79.0,17.0,57.0,6.0,8.0,6.0,2.0,13.0,0.0,260.0,77.0,16100.0,81.0,21.5,18.0,1.0
高尾,35.642375,139.282635,2,5.2,8.8,11700.0,67000.0,75.0,26.0,90.0,14.0,10.0,7.0,4.0,11.0,2.0,290.0,80.0,48000.0,69.0,22.2,20.0,2.0
大宮,35.906435,139.62437,10,6.5,11.0,17200.0,127000.0,72.0,145.0,462.0,60.0,16.0,28.0,4.0,13.0,13.0,720.0,72.0,44800.0,49.0,16.9,259.0,13.0
さいたま新都心,35.893595,139.6339,3,6.3,10.8,16100.0,83000.0,81.0,54.0,179.0,22.0,13.0,11.0,4.0,11.0,6.0,470.0,79.0,40700.0,73.0,15.9,157.0,7.0
与野,35.884375,139.63899,1,6.0,10.2,15000.0,9000.0,68.0,33.0,104.0,3.0,8.0,6.0,2.0,14.0,0.0,400.0,72.0,22200.0,76.0,12.8,129.0,5.0
北浦和,35.8722,139.64575,1,6.3,10.8,17000.0,18000.0,91.0,36.0,123.0,5.0,12.0,7.0,3.0,15.0,1.0,410.0,78.0,66400.0,78.0,12.5,116.0,4.0
