route_key,route_name,source_file,last_updated
yamanote,山手線,yamanote.ts,2026-05-12
chuo,中央線,chuo.ts,2026-05-12
keihinTohoku,京浜東北線,keihin-tohoku.ts,2026-05-12
ginzaLine,銀座線,ginza-line.ts,2026-05-12
marunouchiLine,丸ノ内線,marunouchi-line.ts,2026-05-12
hibiyaLine,日比谷線,hibiya-line.ts,2026-05-12
tozaiLine,東西線,tozai-line.ts,2026-05-12
chiyodaLine,千代田線,chiyoda-line.ts,2026-05-12
yurakuchoLine,有楽町線,yurakucho-line.ts,2026-05-12
hanzomonLine,半蔵門線,hanzomon-line.ts,2026-05-12
nambokuLine,南北線,namboku-line.ts,2026-05-12
fukutoshinLine,副都心線,fukutoshin-line.ts,2026-05-12
toeiAsakusaLine,都営浅草線,toei-asakusa-line.ts,2026-05-12
toeiMitaLine,都営三田線,toei-mita-line.ts,2026-05-12
toeiShinjukuLine,都営新宿線,toei-shinjuku-line.ts,2026-05-12
toeiOedoLine,都営大江戸線,toei-oedo-line.ts,2026-05-12
jrSobuLine,総武線,jr-sobu-line.ts,2026-05-12
jrJobanLine,常磐線,jr-joban-line.ts,2026-05-12
jrSaikyoLine,埼京線,jr-saikyo-line.ts,2026-05-12
jrTakasakiLine,高崎線,jr-takasaki-line.ts,2026-05-12
jrTokaidoMainLine,東海道本線,jr-tokaido-main-line.ts,2026-05-12
odakyuLine,小田急小田原線,odakyu-line.ts,2026-05-12
odakyuEnoshimaLine,小田急江ノ島線,odakyu-enoshima-line.ts,2026-05-12
keioLine,京王線,keio-line.ts,2026-05-12
tokyuToyokoLine,東急東横線,tokyu-toyoko-line.ts,2026-05-12
tokyuDenEnToshiLine,東急田園都市線,tokyu-den-en-toshi-line.ts,2026-05-12
seibuIkebukuroLine,西武池袋線,seibu-ikebukuro-line.ts,2026-05-12
seibuShinjukuLine,西武新宿線,seibu-shinjuku-line.ts,2026-05-12
tobuTojoLine,東武東上線,tobu-tojo-line.ts,2026-05-12
keikyuLine,京急本線,keikyu-line.ts,2026-05-12
jrMusashinoLine,JR武蔵野線,jr-musashino-line.ts,2026-05-17
tokyoMonorail,東京モノレール,tokyo-monorail.ts,2026-05-12
keiseiMainLine,京成本線,keisei-main-line.ts,2026-05-12
jrYokohamaLine,JR横浜線,jr-yokohama-line.ts,2026-05-12
yokohamaBlueLine,横浜市営地下鉄ブルーライン,yokohama-blue-line.ts,2026-05-12
rinkaiLine,りんかい線,rinkai-line.ts,2026-05-12
yurikamomeLine,ゆりかもめ,yurikamome-line.ts,2026-05-17
tsukubaExpress,つくばエクスプレス,tsukuba-express.ts,2026-05-12
jrNanbuLine,JR南武線,jr-nanbu-line.ts,2026-05-17
sotetsuMainLine,相鉄本線,sotetsu-line.ts,2026-05-12
sotetsuIzumino,相鉄いずみ野線,sotetsu-line.ts,2026-05-12
jrSobuChiba,JR総武線（千葉方面）,jr-sobu-chiba.ts,2026-05-12
jrKeiyo,JR京葉線,jr-sobu-chiba.ts,2026-05-12
tokyuMeguro,東急目黒線,tokyu-additional.ts,2026-05-12
tokyuTamagawa,東急多摩川線,tokyu-additional.ts,2026-05-12
tokyuIkegami,東急池上線,tokyu-additional.ts,2026-05-12
yokohamaGreenLine,横浜市営地下鉄グリーンライン,yokohama-green-line.ts,2026-05-12
enoshimaElectricRailway,江ノ島電鉄,enoshima-electric-railway.ts,2026-05-12
jrUchiboLine,JR内房線,jr-chiba-comprehensive.ts,2026-05-12
jrSotoboLine,JR外房線,jr-chiba-comprehensive.ts,2026-05-12
jrNaritaLine,JR成田線,jr-chiba-comprehensive.ts,2026-05-12
shinkeisei,新京成電鉄,chiba-private-railways.ts,2026-05-12
toyoRapid,東葉高速鉄道,chiba-private-railways.ts,2026-05-12
tamaMonorail,多摩モノレール,tama-monorail.ts,2026-05-12
todenArakawaLine,都電荒川線,toden-arakawa-line.ts,2026-05-12
